db	rank	path	node_mentions	labels
srv-agents-repos-Claude_Code_Automations.db	14	agent_workflows/whop_auto/bin/whop-state-mcp/src/commerce.ts	69	Function:49,Type:8,Variable:8,Interface:2,File:1
srv-agents-repos-Claude_Code_Automations.db	15	workplane/.omx/state/notify-fallback-state.json	69	Variable:67,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	16	scripts/art_of_war.py	65	Function:43,Variable:20,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	17	Archon/packages/web/src/lib/api.ts	62	Function:37,Interface:14,Type:7,Variable:2,File:1
srv-agents-repos-Claude_Code_Automations.db	18	scripts/state_manager.py	62	Function:47,Variable:13,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	19	docs/callscore-growth-os/pmo/PROGRAM_CONTROL_REPORT.json	61	Variable:59,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	20	library/task-router/docs/TASK_ROUTER_SUMMARY.md	60	Section:58,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	21	Archon/packages/docs-web/src/content/docs/reference/architecture.md	59	Section:57,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	22	agent_workflows/whop_auto/bin/whop-state-mcp/test/adopt-reconcile.test.ts	58	Function:55,File:1,Module:1,Variable:1
srv-agents-repos-Claude_Code_Automations.db	23	library/task-router/docs/TASK_ROUTER_GUIDE.md	57	Section:55,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	24	docs/callscore-growth-os/launch-batch/drafts/scorecard_5.json	55	Variable:53,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	25	docs/callscore-growth-os/launch-batch/drafts/scorecard_3.json	55	Variable:53,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	26	docs/callscore-growth-os/launch-batch/drafts/scorecard_1.json	55	Variable:53,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	27	docs/callscore-growth-os/launch-batch/drafts/scorecard_4.json	55	Variable:53,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	28	docs/callscore-growth-os/launch-batch/drafts/scorecard_2.json	55	Variable:53,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	29	Archon/packages/server/src/routes/api.ts	55	Variable:40,Function:10,Type:3,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	30	docs/superpowers/specs/2026-04-22-whop-pipeline-plugin-design-rev5.md	54	Section:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	31	agent_workflows/stakeholder-intel/personas/katerina-minarikova.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	32	agent_workflows/stakeholder-intel/personas/daniel-robinson.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	33	agent_workflows/stakeholder-intel/personas/bryan-mcmorrine.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	34	agent_workflows/stakeholder-intel/personas/ben-burton.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	35	agent_workflows/stakeholder-intel/personas/nikki-dekretser.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	36	agent_workflows/stakeholder-intel/personas/jessica-brown.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	37	agent_workflows/stakeholder-intel/personas/andrea-webb.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	38	agent_workflows/stakeholder-intel/personas/swetha-ramesh.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	39	agent_workflows/stakeholder-intel/personas/pegeman-khorsan.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	40	agent_workflows/stakeholder-intel/personas/folayan-odunaiya.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	41	agent_workflows/stakeholder-intel/personas/valentina-demuro.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	42	agent_workflows/stakeholder-intel/personas/paul-pereirinha.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	43	agent_workflows/stakeholder-intel/personas/marcus-treacher.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	44	agent_workflows/stakeholder-intel/personas/andrew-sen.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	45	agent_workflows/stakeholder-intel/personas/victoria-tyne.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	46	agent_workflows/stakeholder-intel/personas/chris-brown.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	47	agent_workflows/stakeholder-intel/personas/simon-chiu.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	48	agent_workflows/stakeholder-intel/personas/dirk-cavens.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	49	agent_workflows/stakeholder-intel/personas/gary-day.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	50	agent_workflows/stakeholder-intel/personas/mahesh-narayan.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	51	agent_workflows/stakeholder-intel/personas/danila-golovniov.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	52	agent_workflows/stakeholder-intel/personas/felipe-hillard.json	54	Variable:52,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	53	Archon/packages/docs-web/src/content/docs/deployment/docker.md	53	Section:51,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	54	agent_workflows/autoresearch/tests/test_autodev.py	51	Method:33,Class:11,Function:4,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	55	agent_workflows/whop_auto/bin/whop-state-mcp/test/server.test.ts	51	Function:48,File:1,Module:1,Variable:1
srv-agents-repos-Claude_Code_Automations.db	56	Archon/packages/docs-web/src/content/docs/guides/authoring-workflows.md	50	Section:48,File:1,Module:1
srv-agents-repos-Claude_Code_Automations.db	57	library/task-router/docs/INSTALLATION_COMPLETE.md	47	Section:45,File:1,Module:1
